timestamp,temperature,pressure,velocity,battery,fuel
25-04-2025 10:30,24,0.97,7071,60,97
25-04-2025 10:35,-3,0.67,7172,57,96
25-04-2025 10:40,10,0.69,7231,89,23
25-04-2025 10:45,102,0.91,7581,68,71
25-04-2025 10:50,59,0.52,7758,73,59
25-04-2025 10:55,86,0.7,7481,85,32
25-04-2025 11:00,-3,0.43,7017,95,0
25-04-2025 11:05,5,0.67,7512,100,49
25-04-2025 11:10,99,0.34,7662,81,66
25-04-2025 11:15,31,0.33,7062,68,74
25-04-2025 11:20,3,0.9,7301,69,46
25-04-2025 11:25,41,0.33,7033,69,40
25-04-2025 11:30,23,0.48,7467,68,77
25-04-2025 11:35,67,0.33,7267,72,79
25-04-2025 11:40,26,0.53,7077,58,82
25-04-2025 11:45,-1,0.51,7160,58,11
25-04-2025 11:50,40,0.9,7157,95,82
25-04-2025 11:55,81,0.69,7767,67,74
